Name;Condition;SERP2473;hsdM(SERP2472);SERP2471
E1_B_0;Exponential;109.3374865;127.8589111;147.3426492
E2_B_0;Exponential;126.0115716;126.6787553;112.7248141
E3_B_0;Exponential;102.0121238;109.3127437;128.4848876
E1_B_5;Exponential;1497.744489;1010.952629;458.3638346
E2_B_5;Exponential;1732.992998;1191.171851;416.0727853
E3_B_5;Exponential;1393.234687;983.4289754;480.0500347
E1_B_15;Exponential;2938.478819;2808.290603;1370.753098
E2_B_15;Exponential;5177.333423;4128.573056;1776.483305
E3_B_15;Exponential;3170.928141;3245.508127;1735.059727
E1_B_30;Exponential;1068.963682;1044.904048;620.6416359
E2_B_30;Exponential;3769.624838;2839.249941;1202.94786
E3_B_30;Exponential;2075.186607;1942.663512;1183.101641
S1_B_0;Stationary;13.37887323;8.921885224;10.93679903
S2_B_0;Stationary;19.51490375;8.183144568;8.462907462
S3_B_0;Stationary;13.56453687;7.182147843;8.131620267
S1_B_5;Stationary;76.30371639;21.95721419;9.853574202
S2_B_5;Stationary;637.3045963;296.2805555;90.10698549
S3_B_5;Stationary;19.18211086;9.1534246;8.603122788
S1_B_15;Stationary;1183.080943;1274.042398;714.0108185
S2_B_15;Stationary;646.9648163;344.3765686;70.06273691
S3_B_15;Stationary;1226.510481;614.5465282;177.1761317
S1_B_30;Stationary;1575.245477;1523.125039;789.9476518
S2_B_30;Stationary;1170.263889;844.5840664;435.1616371
S3_B_30;Stationary;1374.537693;1146.173907;538.0297698
