AssayIdentifier;AssayDescription;Condition;Study;TimePoint;Name
E1_P_5;Assay 1 of Exponential cells at timepoint 5 ;Exponential;Phage;5;E1_P_5
E2_P_5;Assay 2 of Exponential cells at timepoint 5 ;Exponential;Phage;5;E2_P_5
E4_P_5;Assay 4 of Exponential cells at timepoint 5 ;Exponential;Phage;5;E3_P_5
E1_P_15;Assay 1 of Exponential cells at timepoint 15 ;Exponential;Phage;15;E1_P_15
E2_P_15;Assay 2 of Exponential cells at timepoint 15 ;Exponential;Phage;15;E2_P_15
E4_P_15;Assay 4 of Exponential cells at timepoint 15 ;Exponential;Phage;15;E3_P_15
E1_P_30;Assay 1 of Exponential cells at timepoint 30 ;Exponential;Phage;30;E1_P_30
E2_P_30;Assay 2 of Exponential cells at timepoint 30 ;Exponential;Phage;30;E2_P_30
E4_P_30;Assay 4 of Exponential cells at timepoint 30 ;Exponential;Phage;30;E3_P_30
S2_P_5;Assay 1 of Stationary cells at timepoint 5 ;Stationary;Phage;5;S1_P_5
S4_P_5;Assay 4 of Stationary cells at timepoint 5 ;Stationary;Phage;5;S2_P_5
S5_P_5;Assay 5 of Stationary cells at timepoint 5 ;Stationary;Phage;5;S3_P_5
S2_P_15;Assay 1 of Stationary cells at timepoint 15 ;Stationary;Phage;15;S1_P_15
S4_P_15;Assay 4 of Stationary cells at timepoint 15 ;Stationary;Phage;15;S2_P_15
S5_P_15;Assay 5 of Stationary cells at timepoint 15 ;Stationary;Phage;15;S3_P_15
S2_P_30;Assay 1 of Stationary cells at timepoint 30 ;Stationary;Phage;30;S1_P_30
S4_P_30;Assay 4 of Stationary cells at timepoint 30 ;Stationary;Phage;30;S2_P_30
S5_P_30;Assay 5 of Stationary cells at timepoint 30 ;Stationary;Phage;30;S3_P_30
