name_ID;Feature_ID;E1_B_15;E2_B_15;E4_B_15;Average;sd
terminase large subunit;gp001;3783.24;4040.23;3282.38;3701.95;314.6852435
hypothetical protein;gp002;0;0;0;0;0
virion structural protein;gp003;23867.63;19394.27;21632.53;21631.47667;1826.241725
hypothetical protein;gp004;443.62;443.97;456.55;448.0466667;6.0144622
hypothetical protein;gp005;42779.69;32890.48;40556.22;38742.13;4236.139005
hypothetical protein;gp006;1984.92;1253.46;1448.21;1562.196667;309.3036836
portal protein;gp007;4343.9;2806.75;3167.73;3439.46;656.2953732
portal protein;gp008;4967.72;3324.31;3519.37;3937.133333;733.0728745
head maturation protease;gp009;9627.21;4904.04;6543.02;7024.756667;1958.08348
hypothetical protein;gp010;11265.84;5691.44;8287.71;8414.996667;2277.518425
major capsid protein;gp011;8123.28;3805.1;4877.27;5601.883333;1835.84095
hypothetical protein;gp012;451.38;173.65;276.6;300.5433333;114.6398727
tail fiber protein;gp013;428.54;209.6;246.48;294.8733333;95.70829617
virion structural protein;gp014;330.33;174.7;174.19;226.4066667;73.48518868
hypothetical protein;gp015;273.83;130.69;146.47;183.6633333;64.08209804
hypothetical protein;gp016;250.17;124.33;128.04;167.5133333;58.46671095
hypothetical protein;gp017;76.39;34.73;30.29;47.13666667;20.76449748
tail sheath;gp018;266.33;204.78;180.56;217.2233333;36.10402224
virion structural protein;gp019;212.86;183.47;159.88;185.4033333;21.67215469
intron encoded nuclease;gp020;1951.14;2393.16;2313.67;2219.323333;192.3909046
hypothetical protein;gp021;116.66;149.46;139.14;135.0866667;13.69384614
hypothetical protein;gp022;7.07;11.73;10.44;9.746666667;1.964592126
hypothetical protein;gp023;814.71;1054.78;799.74;889.7433333;116.8584649
hypothetical protein;gp024;31.05;27.2;15.34;24.53;6.685691188
virion structural protein;gp025;1293.96;1195.17;1239.77;1242.966667;40.39414176
tail assembly chaperone;gp026;3304.49;2604.14;2729.67;2879.433333;304.8981498
RNA polymerase beta subunit;gp027;3677.91;3027.01;3119.05;3274.656667;287.6082736
tail associated lysin;gp028;892.47;595.54;627.75;705.2533333;133.033658
lytic transglycosylase;gp029;496.25;354.43;337.03;395.9033333;71.31049541
tail protein with lysin activity;gp030;717.75;766.08;604.85;696.2266667;67.55846176
tail protein with lysin activity;gp031;532.79;602.09;485.33;540.07;47.94422593
glycerophosphoryl diester phosphodiesterase;gp032;1301.47;1521.25;1284.54;1369.086667;107.8174885
poly-gamma-glutamate hydrolase;gp033;1448.47;1637.27;1486.66;1524.133333;81.50479754
virion structural protein ;gp034;1936.78;2355.29;2039.72;2110.596667;178.0548257
hypothetical protein;gp035;1031.91;1237;1119.8;1129.57;84.01216856
baseplate wedge protein;gp036;1610.41;1749.76;1691.02;1683.73;57.12246318
baseplate J-like protein;gp037;1803.58;2100.4;2002.61;1968.863333;123.5034581
virion structural protein ;gp038;1102.96;1104.39;1172.2;1126.516667;32.30826967
baseplate protein;gp039;8990.7;8795.18;8868.84;8884.906667;80.62514469
DUF4815 domain-containing protein;gp040;8636.74;7571.52;8288.48;8165.58;443.4724491
hypothetical protein;gp041;74.13;81.45;97.82;84.46666667;9.903845493
virion structural protein ;gp042;4574.27;4308.09;4723.64;4535.333333;171.8671941
methyltransferase subunit G;gp043;5118.63;4763.96;5480.62;5121.07;292.580307
tail fiber protein;gp044;4935.18;4491.45;4937.35;4787.993333;209.6896733
DNA helicase;gp045;5033.51;5145.62;4846.99;5008.706667;123.1702703
HTH DNA binding protein;gp046;3832.26;3932.36;3634.15;3799.59;123.9160945
helicase DnaB-like;gp047;5493.18;6447.34;5698.35;5879.623333;410.0815711
hypothetical protein;gp048;5630.68;7136.26;7328.74;6698.56;759.1828539
hypothetical protein;gp049;3194.77;3971.05;4517.7;3894.506667;542.7891596
recombination exonuclease;gp050;6497.7;8118.78;8401.94;7672.806667;838.9285448
hypothetical protein;gp051;3898.7;5733.93;4752.92;4795.183333;749.825282
exonuclease;gp052;5157.71;7785.27;7006.79;6649.923333;1101.977995
anti-sigma factor;gp053;2840.2;4035.55;3437.08;3437.61;487.9997379
DNA primase/helicase;gp054;4825.4;7242.93;5562.37;5876.9;1011.701427
transposase;gp055;8235.53;9829.52;8075.85;8713.633333;791.7393154
hypothetical protein;gp056;17425.38;17095.41;17317.6;17279.46333;137.3823235
hypothetical protein;gp057;25744.72;24143.34;27579.68;25822.58;1403.959825
RusA-like Holliday junction resolvase;gp058;12631.02;12224.59;11726.2;12193.93667;370.0266011
flavoprotein;gp059;8814.53;8489.7;7547.59;8283.94;537.3001173
ribonucleotide reductase large subunit;gp060;9024.7;8849.87;8252.9;8709.156667;330.4229528
ribonucleotide reductase class Ia beta subunit;gp061;10054.58;9492.54;9043.13;9530.083333;413.7752224
hypothetical protein;gp062;6007.88;5356.91;5239.91;5534.9;337.8409984
transposase;gp063;23031.06;19362.27;20872.9;21088.74333;1505.53341
thioredoxin;gp064;23375.39;18195.44;22726.87;21432.56667;2304.254954
hypothetical protein;gp065;3829.81;2542.55;3240.1;3204.153333;526.1360401
DNA binding protein;gp066;6630.5;4397.46;6087.18;5705.046667;950.8369379
DNA polymerase;gp067;5176.68;6461.8;5447.83;5695.436667;553.0914027
HNH endonuclease;gp068;615.96;0;16.6;210.8533333;286.5338241
hypothetical protein;gp069;17250.6;19643.73;18841.65;18578.66;994.5319181
hypothetical protein;gp070;48455.95;47743.18;52675.15;49624.76;2176.491003
UvsX-like recombinase;gp071;18575.24;17246.93;16700.89;17507.68667;787.101226
hypothetical protein;gp072;13224.12;11501.44;11012.9;11912.82;948.4368193
RNA polymerase sigma factor;gp073;14299.82;12645.5;11373;12772.77333;1198.253647
holin;gp074;2254.27;1806.08;2004.11;2021.486667;183.3848966
Ig domain containing protein;gp075;6493.63;6274.17;6331.22;6366.34;92.97215963
hypothetical protein;gp076;9643.76;11163.98;11538.61;10782.11667;819.3407247
hypothetical protein;gp077;4335.31;4065.11;5071.44;4490.62;425.2575018
metallophosphoesterase ;gp078;16627.46;16535;19188.34;17450.26667;1229.582964
hypothetical protein;gp079;2464.52;2791.48;2655.21;2637.07;134.0957496
hypothetical protein;gp080;5492.44;6348.83;5380.62;5740.63;432.4784065
hypothetical protein;gp081;6342.89;7446.98;6348.97;6712.946667;519.0458826
hypothetical protein;gp082;6497.6;7510.14;6684.22;6897.32;439.9757724
hypothetical protein;gp083;5689.16;6023.8;5576.35;5763.103333;190.0062947
