Name_ID;Feature_ID;E1_B_30;E2_B_30;E4_B_30;Average;sd
terminase large subunit;gp001;2125.365289;2400.174769;2425.706002;2317.08202;135.9643082
hypothetical protein;gp002;0;0;0;0;0
virion structural protein;gp003;2974.977007;4288.383363;4306.748645;3856.703005;623.5195119
hypothetical protein;gp004;54.57627168;134.1616731;110.3950978;99.71101419;33.35737062
hypothetical protein;gp005;5438.39236;8418.20969;8783.021227;7546.541092;1498.107734
hypothetical protein;gp006;2234.073335;2472.874141;2429.529911;2378.825796;103.873759
portal protein;gp007;4408.530385;5027.787116;4928.728775;4788.348759;271.5997502
portal protein;gp008;7338.186147;8021.574359;7449.666413;7603.142306;299.3559748
head maturation protease;gp009;29672.7579;32577.23488;29236.54666;30495.51315;1482.732633
hypothetical protein;gp010;43340.66432;53408.59968;44832.82443;47194.02948;4436.387236
major capsid protein;gp011;99453.04605;106957.8951;101480.3731;102630.4381;3169.929223
hypothetical protein;gp012;6255.912454;8074.054443;6995.667494;7108.544797;746.532445
tail fiber protein;gp013;6807.22812;7041.714696;6634.820164;6827.920993;166.7571814
virion structural protein;gp014;6578.75836;6642.558231;6457.540154;6559.618915;76.73617561
hypothetical protein;gp015;6578.809142;6084.407212;6148.69999;6270.638781;219.4844242
hypothetical protein;gp016;17456.92655;16743.70732;17858.33502;17352.98963;460.9417099
hypothetical protein;gp017;8902.422435;8474.789635;9555.944137;8977.718736;444.5791373
tail sheath;gp018;40601.55411;34351.05846;38244.35195;37732.32151;2577.311952
virion structural protein;gp019;45287.39024;34697.10865;41829.59535;40604.69808;4409.368513
intron encoded nuclease;gp020;747.0192158;864.9999144;900.6247889;837.547973;65.64487711
hypothetical protein;gp021;19.15318214;47.027417;44.99120967;37.0572696;12.68736369
hypothetical protein;gp022;1.455367245;2.95401849;0.697232197;1.702205977;0.937716415
hypothetical protein;gp023;99.08782833;140.4837203;178.2695957;139.2803814;32.33701789
hypothetical protein;gp024;6.946070941;4.531732911;6.180012652;5.885938835;1.00734522
virion structural protein;gp025;114.6101705;188.5447516;266.6913152;189.9487458;62.09480409
tail assembly chaperone;gp026;10964.09412;10303.35236;10452.60482;10573.35043;282.9364425
RNA polymerase beta subunit;gp027;12246.91537;11576.51609;11567.38974;11796.9404;318.2021661
tail associated lysin;gp028;4782.376575;4323.716318;4689.511223;4598.534705;197.9896511
lytic transglycosylase;gp029;3529.279247;3255.181231;3510.983498;3431.814659;125.1218325
tail protein with lysin activity;gp030;2341.001757;2065.169964;2333.770153;2246.647291;128.3578053
tail protein with lysin activity;gp031;1227.587861;1195.2807;1418.729454;1280.532672;98.60595367
glycerophosphoryl diester phosphodiesterase;gp032;2731.088232;2673.025228;2947.536922;2783.883461;118.1232962
poly-gamma-glutamate hydrolase;gp033;2818.631933;2457.730137;2865.155338;2713.839136;182.089669
virion structural protein ;gp034;2213.170404;2053.431537;2319.89597;2195.499304;109.4989326
hypothetical protein;gp035;1223.007469;1203.02403;1368.148858;1264.726786;73.58409358
baseplate wedge protein;gp036;2103.392735;1985.760366;2318.044863;2135.732655;137.5685273
baseplate J-like protein;gp037;2924.600095;2501.784922;2769.759896;2732.048304;174.6611782
virion structural protein ;gp038;1686.739427;1529.604778;1759.079059;1658.474421;95.79072439
baseplate protein;gp039;15789.29179;14813.00212;14997.10391;15199.79927;423.5559291
DUF4815 domain-containing protein;gp040;15012.82376;14260.0627;14770.42832;14681.10493;313.7369438
hypothetical protein;gp041;176.5702907;173.3313791;138.4210979;162.7742559;17.27097499
virion structural protein ;gp042;7127.474351;7038.305098;7139.158896;7101.646115;45.04216894
methyltransferase subunit G;gp043;8859.853619;8666.379933;8890.508865;8805.580806;99.22230341
tail fiber protein;gp044;7873.027257;7417.584061;7778.983002;7689.864773;196.3223034
DNA helicase;gp045;1370.474997;2397.159312;1963.368664;1910.334324;420.8163903
HTH DNA binding protein;gp046;1003.310702;1669.974463;1385.826749;1353.037305;273.1501459
helicase DnaB-like;gp047;1388.504495;2187.238787;1690.847797;1755.53036;329.2739414
hypothetical protein;gp048;439.1784686;707.9870051;667.8048966;604.9901234;118.3885668
hypothetical protein;gp049;233.4006512;422.1260997;466.793247;374.106666;101.1514556
recombination exonuclease;gp050;672.8542434;977.1379424;958.7245848;869.5722569;139.3036146
hypothetical protein;gp051;311.7268224;478.6161576;536.7662573;442.3697458;95.38007686
exonuclease;gp052;470.0916041;768.4152173;675.2606397;637.922487;124.6190135
anti-sigma factor;gp053;223.1623749;372.2063298;339.4823565;311.6170204;63.95770915
DNA primase/helicase;gp054;447.3703816;706.0062232;558.9643174;570.7803074;105.9176972
transposase;gp055;1365.940828;2253.267422;1995.478547;1871.562266;372.6960823
hypothetical protein;gp056;2959.713195;5143.720201;4669.813199;4257.748865;938.0189806
hypothetical protein;gp057;5045.331665;8623.085562;7301.391521;6989.936249;1477.121982
RusA-like Holliday junction resolvase;gp058;2591.730831;3761.649318;3315.185294;3222.855148;482.0587506
flavoprotein;gp059;3244.046417;4131.350333;4559.34812;3978.24829;547.7741744
ribonucleotide reductase large subunit;gp060;3248.787853;3944.665955;4243.551677;3812.335162;416.7512012
ribonucleotide reductase class Ia beta subunit;gp061;3629.243877;4446.612511;4979.886069;4351.914152;555.4484177
hypothetical protein;gp062;1732.061945;2149.261482;2465.687918;2115.670448;300.4419358
transposase;gp063;8169.271352;9459.016701;10654.33924;9427.542431;1014.768799
thioredoxin;gp064;9609.668637;12735.51222;12983.33504;11776.17197;1535.28641
hypothetical protein;gp065;1684.393736;2251.107369;2417.966968;2117.822691;313.959685
DNA binding protein;gp066;3490.370879;4681.159251;4598.385783;4256.638638;542.8858506
DNA polymerase;gp067;524.6144115;769.0602514;689.3883344;661.0209991;101.7905413
HNH endonuclease;gp068;165.9118659;243.4603572;243.1016259;217.491283;36.47244963
hypothetical protein;gp069;1155.864417;1818.510296;1491.79541;1488.723374;270.5327686
hypothetical protein;gp070;4524.399416;8722.617911;6475.984027;6574.333785;1715.325846
UvsX-like recombinase;gp071;2659.594898;4990.255858;3880.68387;3843.511542;951.8513414
hypothetical protein;gp072;2087.20961;3994.409393;3215.09071;3098.903238;782.9335432
RNA polymerase sigma factor;gp073;2481.650359;4339.675725;3627.374381;3482.900155;765.3840721
holin;gp074;6204.757508;5281.422175;7206.345549;6230.841744;786.0630973
Ig domain containing protein;gp075;33069.94606;20749.29442;26637.47084;26818.90377;5031.52082
hypothetical protein;gp076;700.6849062;868.2044969;978.7000806;849.1964946;114.2922786
hypothetical protein;gp077;262.6289738;368.5197865;455.1345475;362.0944359;78.72129243
metallophosphoesterase ;gp078;1225.250232;1669.904203;1807.805779;1567.653405;248.5748186
hypothetical protein;gp079;233.2773383;259.9797689;271.2726861;254.8432644;15.93108852
hypothetical protein;gp080;1308.011311;1469.07032;1339.905974;1372.329202;69.63452383
hypothetical protein;gp081;1587.776557;1853.454592;1674.068449;1705.099866;110.6598879
hypothetical protein;gp082;1605.728828;1923.403181;1726.104403;1751.745471;130.9512553
hypothetical protein;gp083;1340.602248;1460.824995;1409.669989;1403.699077;49.26199389
hypothetical protein;gp084;958.4508359;1104.440296;1022.802057;1028.564396;59.73906612
hypothetical protein;gp085;2327.926061;2907.999277;2635.019101;2623.648146;236.9503576
virion structural protein;gp086;2012.759507;2357.075689;2273.276386;2214.370527;146.607943
DNA binding protein;gp087;2661.985496;3247.084253;2983.869217;2964.312989;239.2655058
hypothetical protein;gp088;2363.012625;2511.199757;2367.237391;2413.816591;68.88189374
hypothetical protein;gp089;2544.959769;1886.475441;2269.817628;2233.750946;270.0321052
hypothetical protein;gp090;223.3153674;279.4816264;240.7165584;247.8378507;23.47618319
hypothetical protein;gp091;389.1172051;419.2977841;389.5228597;399.3126163;14.13261801
hypothetical protein;gp092;57.04100653;59.49726758;75.40228836;63.98018749;8.138656556
hypothetical protein;gp093;214.2836772;417.4494551;391.3674409;341.0335244;90.25597188
hypothetical protein;gp094;1737.094099;2366.28821;2182.190649;2095.190986;264.1312973
hypothetical protein;gp095;1339.921222;1925.101915;1749.958593;1671.660577;245.2305655
hypothetical protein;gp096;447.2335761;537.9433538;638.2470985;541.1413428;78.01372437
hypothetical protein;gp097;612.5716011;810.1905023;814.40928;745.7237945;94.16857038
hypothetical protein;gp098;495.4950982;707.0695903;684.4801867;629.0149584;94.86212834
RNA ligase;gp099;548.3128789;791.4845081;703.2692071;681.022198;100.5130418
hypothetical protein;gp100;637.2829263;1092.662224;901.9579581;877.3010361;186.7235908
prohibitin family protein;gp101;1292.057727;1676.460401;1451.435262;1473.317797;157.6927137
hypothetical protein;gp102;103.9548032;163.5260236;157.3752672;141.618698;26.75051002
hypothetical protein;gp103;70.48664241;85.61646811;79.76809029;78.6237336;6.22950349
hypothetical protein;gp104;198.7860437;312.3874554;318.9222095;276.6985695;55.15703046
hypothetical protein;gp105;3.969183395;5.538784669;8.556940595;6.02163622;1.903809908
hypothetical protein;gp106;341.1779219;495.1487837;430.1416284;422.1561113;63.11145133
hypothetical protein;gp107;250.7250213;402.7605807;350.2811304;334.5889108;63.05229125
hypothetical protein;gp108;301.9463961;481.1014126;403.5028654;395.5168914;73.35739826
hypothetical protein;gp109;103.1393494;169.5465104;142.034966;138.2402753;27.24307271
hypothetical protein;gp110;384.2615047;509.0030075;480.8767773;458.0470965;53.42288133
hypothetical protein;gp111;172.2516849;329.5956247;236.8201687;246.2224928;64.57853937
hypothetical protein;gp112;244.683618;450.4878198;362.1249721;352.4321366;84.29830233
hypothetical protein;gp113;426.804945;759.5645214;612.6189335;599.6628;136.1570906
hypothetical protein;gp114;507.4362223;894.2846766;710.5477589;704.0895526;157.9962298
hypothetical protein;gp115;167.5812578;337.2142431;264.8457006;256.5470672;69.50054155
hypothetical protein;gp116;130.983052;330.6534906;260.9353876;240.8573101;82.74224198
hypothetical protein;gp117;456.5144608;887.8997636;674.3875888;672.9339377;176.115312
hypothetical protein;gp118;530.6247729;810.198867;648.8076393;663.2104264;114.5891174
hypothetical protein;gp119;115.6552481;234.5144998;221.1857883;190.4518454;53.16836066
hypothetical protein;gp120;307.1084774;503.4755265;447.1001461;419.22805;82.55359794
hypothetical protein;gp121;190.2570281;355.8844428;283.1733548;276.4382752;67.78461525
hypothetical protein;gp122;216.8593577;390.209214;342.4287398;316.4991038;73.10632752
hypothetical protein;gp123;58.01255545;146.6752237;128.2132539;110.967011;38.1954784
hypothetical protein;gp124;91.15712405;185.9235286;159.6331958;145.5712828;39.94555382
hypothetical protein;gp125;90.4205585;200.4682709;158.6990445;149.8626246;45.35920699
hypothetical protein;gp126;256.9127456;334.5836221;340.2880471;310.5948049;38.03031893
hypothetical protein;gp127;57.49256101;79.65702532;83.82753509;73.65904047;11.55752516
hypothetical protein;gp128;89.71176493;143.844532;135.7127403;123.0896791;23.83408447
hypothetical protein;gp129;449.9782939;525.3755076;699.7782693;558.3773569;104.6162781
hypothetical protein;gp130;527.696089;629.1295414;791.2383308;649.3546537;108.5369973
hypothetical protein;gp131;459.6648228;551.2902498;713.1316972;574.6955899;104.792562
hypothetical protein;gp132;41.51694953;58.15723903;57.14813898;52.27410918;7.617608265
hypothetical protein;gp133;173.3599218;160.6899176;215.5677897;183.2058764;23.46063835
hypothetical protein;gp134;262.7145787;297.954965;396.5856735;319.0850724;56.65820673
pentapeptide repeat protein;gp135;361.4508507;344.0376535;438.9574701;381.4819914;41.25835548
hypothetical protein;gp136;367.606783;629.976552;800.4831906;599.3555085;178.0425647
hypothetical protein;gp137;404.3516986;518.3709009;579.8855278;500.8693758;72.72211417
hypothetical protein;gp138;169.1049851;219.7326814;257.5596547;215.4657737;36.2372922
hypothetical protein;gp139;5.281574679;4.824102777;10.12111253;6.742263329;2.396495577
hypothetical protein;gp140;987.9719068;1045.711066;1106.431631;1046.704868;48.3660852
hypothetical protein;gp141;29.81330662;45.13696163;33.24860997;36.06629274;6.565470425
hypothetical protein;gp142;1066.89236;781.417729;1222.370527;1023.560205;182.6072274
hypothetical protein;gp143;589.1058141;471.0655699;630.2505211;563.4739684;67.46705768
TreK;gp144;3258.915284;2745.671887;3465.963985;3156.850385;302.7849724
TreO;gp145;0;3.021155274;2.852313532;1.957822935;1.386104822
hypothetical protein;gp146;235.7694937;225.3177604;181.3500943;214.1457828;23.57933517
hypothetical protein;gp147;2472.305107;2136.447717;2576.316544;2395.023123;187.7063754
TreN-like membrane protein;gp148;1.336561755;2.712874124;1.920945848;1.990127242;0.56400265
hypothetical protein;gp149;54.81355982;71.52256725;79.1206971;68.48560806;10.15304787
hypothetical protein;gp150;4299.518683;3716.020987;4947.908284;4321.149318;503.1484151
Tre protein;gp151;988.6987763;1040.410348;1463.593381;1164.234168;212.7290535
hypothetical protein;gp152;3205.330484;2886.588785;3510.453086;3200.790785;254.7117628
hypothetical protein;gp153;2.13559324;6.502051568;2.046224925;3.561289911;2.079752552
hypothetical protein;gp154;1891.86005;1806.358484;2311.999473;2003.406002;220.9827701
hypothetical protein;gp155;113.0279173;190.8088046;184.6273786;162.8213668;35.29960547
hypothetical protein;gp156;37.59698716;84.9280316;112.7192051;78.41474129;31.01240741
BofL ;gp157;524.3174524;745.1946056;717.5749713;662.3623431;98.26157247
hypothetical protein;gp158;164.904304;273.8715989;319.7077788;252.8278939;64.92640497
hypothetical protein;gp159;733.0648122;1055.627196;1061.228417;949.9734751;153.3946315
hypothetical protein;gp160;146.8790535;240.3724997;277.8097995;221.6871176;55.06101277
endonuclease ;gp161;2370.143739;2015.659869;2329.302951;2238.368853;158.3592144
major tail protein;gp162;46418.35143;35384.97254;40867.36555;40890.22984;4504.387085
hypothetical protein;gp163;7704.586001;6160.965248;7931.160741;7265.570663;786.5319959
major tail protein;gp164;8505.855563;7016.474116;8927.691314;8150.006998;819.82069
transglycosylase;gp165;12091.26286;19775.24958;13099.17955;14988.564;3409.618079
RinB-like transcriptional activator;gp166;3.852442707;7.81946071;4.921639035;5.531180817;1.675900524
hypothetical protein;gp167;703.4160601;1063.760173;990.6945972;919.2902768;155.5332819
nucleotide kinase;gp168;839.6107868;1517.945778;1481.643498;1279.733354;311.5663329
HNH endonuclease;gp169;1256.896836;2264.66386;2123.630501;1881.730399;445.5598263
MazG-like pyrophosphatase;gp170;1196.311875;2236.402999;2132.932894;1855.215923;467.8264804
hypothetical protein;gp171;60.22881411;99.10468284;109.814071;89.71585598;21.30394295
virion structural protein;gp172;441.1479758;395.8052865;540.08076;459.0113408;60.23939973
hypothetical protein;gp173;735.0805951;674.0596437;914.6239334;774.5880574;102.105906
hypothetical protein;gp174;615.0367567;951.5741741;963.0088261;843.2065856;161.407953
nucleoside 2-deoxyribosyltransferase ;gp175;1567.16591;2302.623845;2115.941255;1995.24367;312.1436889
HNH endonuclease;gp176;1018.002513;1787.013345;1603.980688;1469.665515;327.9988203
hypothetical protein;gp177;666.2069026;1030.977919;950.6400364;882.608286;156.4943298
hypothetical protein;gp178;27.95370013;44.58046197;40.55850705;37.69755638;7.082894011
PhoH family protein;gp179;1140.003304;1730.791724;1608.150536;1492.981855;254.5657848
hypothetical protein;gp180;515.8893892;973.4656986;956.8594488;815.4048455;211.8978894
Rnase H ;gp181;1176.256077;1732.643417;1614.368418;1507.755971;239.3273608
hypothetical protein;gp182;104.9943512;160.8885071;119.0274964;128.3034516;23.74267149
hypothetical protein;gp183;556.0197649;828.6467195;764.0473624;716.2379489;116.3204456
transcriptional regulator;gp184;731.0270337;1189.192038;1124.004255;1014.741109;202.3736134
hypothetical protein;gp185;502.6917132;882.9122157;834.4173424;740.0070904;168.97116
endolysin;gp186;9809.23281;9412.048734;10105.8603;9775.713948;284.2372927
HNH endonuclease;gp187;0;0;0;0;0
holin;gp188;13034.56479;12868.69975;13245.13734;13049.46729;154.0408566
hypothetical protein;gp189;94.71082224;118.615204;139.5000726;117.6086996;18.2989804
hypothetical protein;gp190;1249.899596;1777.636363;1879.566983;1635.700981;275.9583231
hypothetical protein;gp191;304.3429739;460.6965602;439.8714888;401.6370076;69.32059651
"ribosome associated inhibitor A; zinc finger domain";gp192;1072.202483;1327.062867;1348.720308;1249.328553;125.5587369
anti-repressor protein;gp193;402.5278487;569.3644567;691.2203476;554.3708843;118.3341178
hypothetical protein;gp194;377.0440712;407.3380497;493.0427676;425.8082962;49.12424313
hypothetical protein;gp195;5270.59281;5394.476874;6209.229593;5624.766426;416.3609899
hypothetical protein;gp196;3727.559356;3928.844592;4438.754472;4031.719473;299.3181743
hypothetical protein;gp197;95.43050934;126.7590434;108.9176296;110.3690608;12.8309327
hypothetical protein;gp198;1489.113573;1686.282993;1645.38083;1606.925799;84.96288257
hypothetical protein;gp199;2418.721131;2561.184384;2469.033901;2482.979805;58.99045572
terminase small subunit;gp200;2143.677986;2422.664414;2369.294609;2311.879003;120.9153164
