name_ID;Feature_ID;S2_P_30;S4_P_30;S5_P_30;Average;SD
terminase large subunit;gp001;3805.1;2645.38;3414.48;3288.32;481.7847921
hypothetical protein;gp002;0;0;0;0;0
virion structural protein;gp003;9482.35;4976.65;5301.58;6586.86;2051.71337
hypothetical protein;gp004;191.96;116.08;152.15;153.3966667;30.99042038
hypothetical protein;gp005;11949.21;5301.19;5328.45;7526.283333;3127.501239
hypothetical protein;gp006;214.08;105.8;128.47;149.45;46.62803091
portal protein;gp007;419.26;211.17;294.19;308.2066667;85.52860041
portal protein;gp008;662.85;523.24;668.78;618.29;67.25408587
head maturation protease;gp009;177.35;114.67;100.47;130.83;33.40152492
hypothetical protein;gp010;223.69;112.91;123.21;153.27;49.97169065
major capsid protein;gp011;348.24;385.55;437.82;390.5366667;36.74047934
hypothetical protein;gp012;11.11;13.06;13.72;12.63;1.10806137
tail fiber protein;gp013;179.8;244.24;355.76;259.9333333;72.68741722
virion structural protein;gp014;171.13;164.8;236.19;190.7066667;32.26522827
hypothetical protein;gp015;166.28;170.01;246.7;194.33;37.06247788
hypothetical protein;gp016;156.18;123.19;192.72;157.3633333;28.39783364
hypothetical protein;gp017;68.97;59.43;63.44;63.94666667;3.91113226
tail sheath;gp018;245.1;276.45;326.67;282.74;33.59652065
virion structural protein;gp019;299.15;450.83;451.55;400.51;71.67294608
intron encoded nuclease;gp020;3250.82;2660.81;2933.21;2948.28;241.1061712
hypothetical protein;gp021;53;54.36;42.52;49.96;5.290091367
hypothetical protein;gp022;0;1.12;1.04;0.72;0.510163373
hypothetical protein;gp023;368.16;87.31;85.36;180.2766667;132.8559642
hypothetical protein;gp024;34.17;20.68;15.65;23.5;7.819288118
virion structural protein;gp025;1240.23;150.1;80.01;490.1133333;531.1838428
tail assembly chaperone;gp026;396.22;366.76;509.93;424.3033333;61.73015165
RNA polymerase beta subunit;gp027;695.17;948.54;924.07;855.9266667;114.1102526
tail associated lysin;gp028;210.34;195.09;225.64;210.3566667;12.47199084
lytic transglycosylase;gp029;546.32;553;572.74;557.3533333;11.21658692
tail protein with lysin activity;gp030;1256.28;956.89;1474.01;1229.06;211.9889461
tail protein with lysin activity;gp031;1197.25;879.36;1267.16;1114.59;168.7635757
