Name;Condition;gp001;gp002;gp003;gp004;gp005;gp006;gp007;gp008;gp009;gp010;gp011;gp012;gp013;gp014;gp015;gp016;gp017;gp018;gp019;gp020;gp021;gp022;gp023;gp024;gp025;gp026;gp027;gp028;gp029;gp030;gp031;gp032;gp033;gp034;gp035;gp036;gp037;gp038;gp039;gp040;gp041;gp042;gp043;gp044;gp045;gp046;gp047;gp048;gp049;gp050;gp051;gp052;gp053;gp054;gp055;gp056;gp057;gp058;gp059;gp060;gp061;gp062;gp063;gp064;gp065;gp066;gp067;gp068;gp069;gp070;gp071;gp072;gp073;gp074;gp075;gp076;gp077;gp078;gp079;gp080;gp081;gp082;gp083;gp084;gp085;gp086;gp087;gp088;gp089;gp090;gp091;gp092;gp093;gp094;gp095;gp096;gp097;gp098;gp099;gp100;gp101;gp102;gp103;gp104;gp105;gp106;gp107;gp108;gp109;gp110;gp111;gp112;gp113;gp114;gp115;gp116;gp117;gp118;gp119;gp120;gp121;gp122;gp123;gp124;gp125;gp126;gp127;gp128;gp129;gp130;gp131;gp132;gp133;gp134;gp135;gp136;gp137;gp138;gp139;gp140;gp141;gp142;gp143;gp144;gp145;gp146;gp147;gp148;gp149;gp150;gp151;gp152;gp153;gp154;gp155;gp156;gp157;gp158;gp159;gp160;gp161;gp162;gp163;gp164;gp165;gp166;gp167;gp168;gp169;gp170;gp171;gp172;gp173;gp174;gp175;gp176;gp177;gp178;gp179;gp180;gp181;gp182;gp183;gp184;gp185;gp186;gp187;gp188;gp189;gp190;gp191;gp192;gp193;gp194;gp195;gp196;gp197;gp198;gp199;gp200
E1_P_5;Exponential E;3983.05;645.59;5015.98;38.65;3809.66;150.58;362.49;213.19;805.15;919.96;1277.67;36.07;285.03;130.84;56.79;35.92;21.69;63.94;28.71;3975.04;784.48;35.67;7281.2;111.88;6719.35;1127.23;1184.15;149.78;104.41;1685.66;1425.7;2275.49;869.6;6463.46;2657.47;2787.77;1345.42;669.66;9001.7;2250.21;0;52.68;180.14;3240.12;4090.07;3990.88;5947.19;11651.05;6422.07;5953.12;9167.55;8384.07;4868.89;4923.09;7475.08;10454.55;8614.4;3958.96;2336.74;1477.97;1442.93;2863.31;8184.02;4509.72;767.78;1033.82;5409.65;0;13573.3;14737.63;4674.18;1712.33;1218.27;910.6;2529.08;14471.46;4093.2;11042.75;1004.38;5337.64;4033.17;4668.18;2555.39;16746.12;10864.33;5867.73;18160.69;11772.23;1217.77;4473.8;6521.98;1064.16;3320.45;17735.25;11621.83;20497.25;20067.69;15710.86;7804.79;904.97;455.33;6072.13;3662.27;10974.62;134.99;12182.38;8409.88;7421.73;2102.28;14115.21;6539.97;7428.99;7778.93;6003.6;1834.3;1311.96;1792.28;1288.93;4244.38;6870.7;3600.76;3341.37;637.17;569.45;371.81;14115.78;3492.46;3828.51;18491.67;19948.22;13732.11;2898.15;4230.45;6669.81;13226.18;18400.98;14550.94;5894.1;484.18;20762.5;1406.44;45610.18;36354.7;113116.4;54.73;4860.86;100429.87;153.98;2568.49;149995.29;59248.51;109244.56;143.08;62739.8;53.29;329.98;3129.4;1668.69;9318.86;3238.66;206.96;1795.18;31.61;47.88;5222.64;6.3;1717.37;2969.24;8030.42;11747.77;2233.09;41.49;140.09;923.45;3337.09;5276.98;5483.87;121.38;5161.67;5461.79;10613.49;1065.11;9227.68;15115.9;13050.69;3247.34;2667.28;6.87;125.95;1081.31;308.47;15048.65;9542.28;291.25;529.32;459.3;25.23;224.74;308.29;251.12
E2_P_5;Exponential E;4224.5;198.76;4795.95;59.45;3621.55;185.92;338.1;240.08;817.86;949.84;1430.22;42.44;521.05;244.47;92.64;58.11;35.73;94.58;35.31;4550.99;937.13;25.18;5340.54;125.9;4131.58;1395.01;1501.92;236.24;217.25;1816.14;1277.08;2331.44;1135.64;6063.8;2309.37;2274.24;1327.9;626.02;9853.86;2578;7.41;74.31;325.8;3204.26;4457;3342.44;5843.04;11218.08;5372.19;5892.68;8979.65;7735.76;3826.11;4616.64;7293.71;10867.97;9786.36;4708.3;2852.63;1732.82;1116.87;2273.47;6354.05;3325.86;589;885.71;5776.72;0;14427.7;17729.93;6169.88;1982.16;1315.92;862.85;3227.62;14348.33;2997.9;9483.69;894.11;5507.09;4054.99;4640.52;2542.78;16941.12;10566.26;5202.07;16943.86;11089.71;652.12;4033.97;6708.21;801.09;2746.61;16964.87;10555.2;18551.77;18152.43;13177.28;7049.28;906.9;570.76;4547.4;2803.95;7519.58;110.16;10087.14;6691.5;6155.2;1631.8;13847.74;5929.38;6835.33;8317.42;6606.92;1905.17;1043.43;2059.58;1519.07;2863.56;5429.45;2727.57;2261.2;354.39;344.52;269.26;12942.08;2397.39;2504.78;11793.6;17361.21;10054.96;1824.43;3266;5011.55;10971.31;11271.9;10585.74;4132.16;207.13;21349.87;1245.85;40791.68;41844.1;122578.25;150.22;5480.44;116520.67;269.79;3136.56;177570.83;53594.87;123087.13;114.95;61579.43;47.61;209.83;3028.27;1234.79;9340.95;2378.05;190.41;1784.94;37.18;72.89;6318.44;11.11;2166.43;3421.04;10632.46;14581.05;2205.5;55.17;145.2;861.98;3532.84;4830.17;5533.1;135.88;5475.9;4343.56;11523.95;1091.14;8244.88;13469.62;11055.4;3296.08;1844.92;15.15;119.12;1040.46;244.39;15751.14;9166.95;183.45;496.8;444.15;8.09;138.49;375.55;312.95
E3_P_5;Exponential E;4300.46;250.5;4704.21;60.44;4301.42;102.89;279.01;216.82;722.2;817.58;1449.99;12.22;236.98;135.62;67.74;54.02;32.34;41.32;23;3772.28;829.31;19.34;7023.7;154.95;6905.21;1454.85;1423.31;162.24;107.16;1832.63;1552.59;2626.93;1087.96;6661.09;2842.37;2945.36;1798.09;715.89;9095.09;2621.3;0;76.82;161.12;3509.56;4170.2;4457.4;6996.49;11314.78;6673.59;6689.85;9947.36;9122.15;5594.29;5998.61;7470.46;10628.53;8951.28;4160.91;2534.21;1852.61;1736.99;3247.14;8953.02;5127.51;917.63;1114.07;5662.53;0;14248.89;15485.99;4347.06;1917.64;1351.26;695.92;1990.97;14116.27;4348.31;12574.95;1345.99;5044.5;3942.76;5252.16;2958.32;17172.82;11757.15;6744.01;18079.37;12278.13;1562.24;4048.64;6726.83;1087.96;3435.66;17430.8;11759.76;19782.24;19211.86;14478.45;8559.27;1547.05;1051.56;5895.7;3820.77;11163.74;184.62;12232.55;8732.9;8058.49;2363.54;12802.39;6384.68;6851.12;7519.83;6012.41;1811.13;1386.95;1955.77;1397.67;4793.19;7054.64;3809.23;4054.99;910.66;889.48;592.41;12426.91;3004.76;3294.78;17512.48;19868.39;13443.92;2871.44;4533.59;6744.1;13020.28;19055.37;14215.35;4761.04;386.05;19053.38;1312.05;49455.1;36318.83;117071.52;69.23;4586.84;95544.59;199.83;2800.31;140127.18;57031.32;99257.93;122.99;55345.54;57.6;338.48;3245.96;1859.02;9029.15;3257.54;201.41;1623.75;43.97;38.17;6155.02;4.27;1806.42;3209.09;8032.94;11434.97;2043.81;97.79;190.91;1292.62;3980.39;5570.23;5862.48;140.64;6014.17;5807.54;11414.96;1053.42;8717.89;13811.2;11811.71;3540.01;2479.77;8.15;153.99;1067.43;230.39;14011.15;8678.51;205.16;623.37;346.54;27.98;119.68;276.94;234.69
E1_P_15;Exponential E;3783.24;0;23867.63;443.62;42779.69;1984.92;4343.9;4967.72;9627.21;11265.84;8123.28;451.38;428.54;330.33;273.83;250.17;76.39;266.33;212.86;1951.14;116.66;7.07;814.71;31.05;1293.96;3304.49;3677.91;892.47;496.25;717.75;532.79;1301.47;1448.47;1936.78;1031.91;1610.41;1803.58;1102.96;8990.7;8636.74;74.13;4574.27;5118.63;4935.18;5033.51;3832.26;5493.18;5630.68;3194.77;6497.7;3898.7;5157.71;2840.2;4825.4;8235.53;17425.38;25744.72;12631.02;8814.53;9024.7;10054.58;6007.88;23031.06;23375.39;3829.81;6630.5;5176.68;615.96;17250.6;48455.95;18575.24;13224.12;14299.82;2254.27;6493.63;9643.76;4335.31;16627.46;2464.52;5492.44;6342.89;6497.6;5689.16;5488.39;7413.69;6611.08;11871.96;10859.01;1934.73;1920.7;3402.82;614.9;3290.26;18117.96;15044.96;4593.41;9057;8985.15;9651.26;13620.48;23790.72;1651.09;1212.08;4171.52;76.29;5328.1;4337.46;5159.78;1906.05;5488.44;3150.88;5076.59;8308.23;8937.26;3666.27;3576.97;9775.46;9716.18;3109.76;6454.74;4244.37;4959.89;1841;2440.57;2525.25;4074.8;1253.63;2448.19;9502.46;7381.65;6383.29;474.46;1604.1;2380.8;3494.55;7289.86;6871.86;3183.09;56.42;10471.97;227.82;3643.07;1773.49;8869.61;6.42;326.47;6239.28;8.65;147.47;9507.01;3548.11;7945.76;15.36;7976.79;41.2;776.01;7026.59;2779.49;9364.6;2821.8;1073.12;13659.62;193.14;219.43;25243.41;19.4;6455.18;9601.03;17940.33;19314.43;1603.21;714.99;1096.47;5772.49;12295.17;8653.85;5454.61;237.42;9616.45;7048.52;12305.88;1012.86;6431.4;9690.65;8023.34;3109.52;372.77;73.5;990.4;10479.09;2235.65;7859.09;6941.39;1161.43;392.8;2126.49;89.34;1204.84;1862.58;1590.97
E2_P_15;Exponential E;4040.23;0;19394.27;443.97;32890.48;1253.46;2806.75;3324.31;4904.04;5691.44;3805.1;173.65;209.6;174.7;130.69;124.33;34.73;204.78;183.47;2393.16;149.46;11.73;1054.78;27.2;1195.17;2604.14;3027.01;595.54;354.43;766.08;602.09;1521.25;1637.27;2355.29;1237;1749.76;2100.4;1104.39;8795.18;7571.52;81.45;4308.09;4763.96;4491.45;5145.62;3932.36;6447.34;7136.26;3971.05;8118.78;5733.93;7785.27;4035.55;7242.93;9829.52;17095.41;24143.34;12224.59;8489.7;8849.87;9492.54;5356.91;19362.27;18195.44;2542.55;4397.46;6461.8;0;19643.73;47743.18;17246.93;11501.44;12645.5;1806.08;6274.17;11163.98;4065.11;16535;2791.48;6348.83;7446.98;7510.14;6023.8;8633.66;10416.17;8998.87;16363.86;14253.96;1871.92;1890.68;3935.84;687.63;3350.03;22165.23;15811.8;7464.4;13183.66;11128.02;13056.08;14505.62;24845.96;2504.58;1420.13;4918.55;91.75;7596.21;6270.17;7040.18;2746.83;9016.43;4687.09;6777.45;11771;12693.12;4471.03;4143.8;11201.4;11402.05;3475.06;7327.92;4779.86;5460.74;1750.25;2457.45;2564.29;6371.45;1642;2677.56;8385.91;9515.87;7473;504.81;2200.93;3157.18;5229.79;8543.18;8592.22;4195.17;53.38;15911.74;428.24;2528.1;1644.04;7226.59;4;257;5868.67;12.21;183.68;8629.7;2642.37;6817.44;6.89;5803.9;38.09;731.7;7559.13;2752.31;11500.49;2623.63;739.6;9728.69;159.79;174.48;25152.15;24.85;6542.81;8468.95;15935.56;16643.58;1572.91;693.82;1132.21;5716.45;14092.84;9408.73;6449.39;276.49;10374.5;6973.06;14977.82;1205.35;7792.33;10917.35;8066.23;3874.69;0;57.42;791.84;7674.69;1800.98;9574.33;6738.64;396.81;261.02;1195.67;59.85;699.7;1030.95;905.52
E3_P_15;Exponential E;3282.38;0;21632.53;456.55;40556.22;1448.21;3167.73;3519.37;6543.02;8287.71;4877.27;276.6;246.48;174.19;146.47;128.04;30.29;180.56;159.88;2313.67;139.14;10.44;799.74;15.34;1239.77;2729.67;3119.05;627.75;337.03;604.85;485.33;1284.54;1486.66;2039.72;1119.8;1691.02;2002.61;1172.2;8868.84;8288.48;97.82;4723.64;5480.62;4937.35;4846.99;3634.15;5698.35;7328.74;4517.7;8401.94;4752.92;7006.79;3437.08;5562.37;8075.85;17317.6;27579.68;11726.2;7547.59;8252.9;9043.13;5239.91;20872.9;22726.87;3240.1;6087.18;5447.83;16.6;18841.65;52675.15;16700.89;11012.9;11373;2004.11;6331.22;11538.61;5071.44;19188.34;2655.21;5380.62;6348.97;6684.22;5576.35;6401.02;8468.5;7183.73;14513.33;12660.75;2079.71;2115.03;3747.61;645.44;3721.48;20898.41;15330.89;5658.62;11303.51;11343.75;11931.17;15998.65;26060.42;2167.24;1459.45;4928.85;86.54;6574.53;5649;6321.93;2284.33;6677.66;3940.77;6217.18;10366.89;11939.87;4139.63;4447.4;11757.03;11513.42;3894.64;7726.4;5019.26;6383.35;2127.9;2776.66;2629.8;5294.53;1600.5;2624.89;9217.26;8370.43;6609.58;528.68;1827.45;2750.24;4166.81;10255.4;8559.64;3647.3;52.47;13246.38;326.42;4014.04;1883.62;10928.88;5.75;462.71;7026.97;11.8;205.11;11511.91;4462.8;8738.92;18.86;8229.21;34.4;868.92;6728.02;2939.96;10231.17;2872.99;758.24;10072.05;126.05;123.67;19236.46;29.06;5192.2;8108.11;15436.46;17921.1;1587.34;575.55;1057.2;5475.01;12461.65;8094.36;5071.71;211.61;10056.09;7725.38;13665.74;1121.78;7047.84;11726.05;9238.59;2750.21;527.27;55.09;850.9;9561.83;2307.18;7578.65;6396.58;867.07;376.47;2042.1;95.54;1099.24;1653.01;1303.96
E1_P_30;Exponential E;2125.37;0;2974.98;54.58;5438.39;2234.07;4408.53;7338.19;29672.76;43340.66;99453.05;6255.91;6807.23;6578.76;6578.81;17456.93;8902.42;40601.55;45287.39;747.02;19.15;1.46;99.09;6.95;114.61;10964.09;12246.92;4782.38;3529.28;2341;1227.59;2731.09;2818.63;2213.17;1223.01;2103.39;2924.6;1686.74;15789.29;15012.82;176.57;7127.47;8859.85;7873.03;1370.47;1003.31;1388.5;439.18;233.4;672.85;311.73;470.09;223.16;447.37;1365.94;2959.71;5045.33;2591.73;3244.05;3248.79;3629.24;1732.06;8169.27;9609.67;1684.39;3490.37;524.61;165.91;1155.86;4524.4;2659.59;2087.21;2481.65;6204.76;33069.95;700.68;262.63;1225.25;233.28;1308.01;1587.78;1605.73;1340.6;958.45;2327.93;2012.76;2661.99;2363.01;2544.96;223.32;389.12;57.04;214.28;1737.09;1339.92;447.23;612.57;495.5;548.31;637.28;1292.06;103.95;70.49;198.79;3.97;341.18;250.73;301.95;103.14;384.26;172.25;244.68;426.8;507.44;167.58;130.98;456.51;530.62;115.66;307.11;190.26;216.86;58.01;91.16;90.42;256.91;57.49;89.71;449.98;527.7;459.66;41.52;173.36;262.71;361.45;367.61;404.35;169.1;5.28;987.97;29.81;1066.89;589.11;3258.92;0;235.77;2472.31;1.34;54.81;4299.52;988.7;3205.33;2.14;1891.86;113.03;37.6;524.32;164.9;733.06;146.88;2370.14;46418.35;7704.59;8505.86;12091.26;3.85;703.42;839.61;1256.9;1196.31;60.23;441.15;735.08;615.04;1567.17;1018;666.21;27.95;1140;515.89;1176.26;104.99;556.02;731.03;502.69;9809.23;0;13034.56;94.71;1249.9;304.34;1072.2;402.53;377.04;5270.59;3727.56;95.43;1489.11;2418.72;2143.68
E2_P_30;Exponential E;2400.17;0;4288.38;134.16;8418.21;2472.87;5027.79;8021.57;32577.23;53408.6;106957.9;8074.05;7041.71;6642.56;6084.41;16743.71;8474.79;34351.06;34697.11;865;47.03;2.95;140.48;4.53;188.54;10303.35;11576.52;4323.72;3255.18;2065.17;1195.28;2673.03;2457.73;2053.43;1203.02;1985.76;2501.78;1529.6;14813;14260.06;173.33;7038.31;8666.38;7417.58;2397.16;1669.97;2187.24;707.99;422.13;977.14;478.62;768.42;372.21;706.01;2253.27;5143.72;8623.09;3761.65;4131.35;3944.67;4446.61;2149.26;9459.02;12735.51;2251.11;4681.16;769.06;243.46;1818.51;8722.62;4990.26;3994.41;4339.68;5281.42;20749.29;868.2;368.52;1669.9;259.98;1469.07;1853.45;1923.4;1460.82;1104.44;2908;2357.08;3247.08;2511.2;1886.48;279.48;419.3;59.5;417.45;2366.29;1925.1;537.94;810.19;707.07;791.48;1092.66;1676.46;163.53;85.62;312.39;5.54;495.15;402.76;481.1;169.55;509;329.6;450.49;759.56;894.28;337.21;330.65;887.9;810.2;234.51;503.48;355.88;390.21;146.68;185.92;200.47;334.58;79.66;143.84;525.38;629.13;551.29;58.16;160.69;297.95;344.04;629.98;518.37;219.73;4.82;1045.71;45.14;781.42;471.07;2745.67;3.02;225.32;2136.45;2.71;71.52;3716.02;1040.41;2886.59;6.5;1806.36;190.81;84.93;745.19;273.87;1055.63;240.37;2015.66;35384.97;6160.97;7016.47;19775.25;7.82;1063.76;1517.95;2264.66;2236.4;99.1;395.81;674.06;951.57;2302.62;1787.01;1030.98;44.58;1730.79;973.47;1732.64;160.89;828.65;1189.19;882.91;9412.05;0;12868.7;118.62;1777.64;460.7;1327.06;569.36;407.34;5394.48;3928.84;126.76;1686.28;2561.18;2422.66
E3_P_30;Exponential E;2425.71;0;4306.75;110.4;8783.02;2429.53;4928.73;7449.67;29236.55;44832.82;101480.37;6995.67;6634.82;6457.54;6148.7;17858.34;9555.94;38244.35;41829.6;900.62;44.99;0.7;178.27;6.18;266.69;10452.6;11567.39;4689.51;3510.98;2333.77;1418.73;2947.54;2865.16;2319.9;1368.15;2318.04;2769.76;1759.08;14997.1;14770.43;138.42;7139.16;8890.51;7778.98;1963.37;1385.83;1690.85;667.8;466.79;958.72;536.77;675.26;339.48;558.96;1995.48;4669.81;7301.39;3315.19;4559.35;4243.55;4979.89;2465.69;10654.34;12983.34;2417.97;4598.39;689.39;243.1;1491.8;6475.98;3880.68;3215.09;3627.37;7206.35;26637.47;978.7;455.13;1807.81;271.27;1339.91;1674.07;1726.1;1409.67;1022.8;2635.02;2273.28;2983.87;2367.24;2269.82;240.72;389.52;75.4;391.37;2182.19;1749.96;638.25;814.41;684.48;703.27;901.96;1451.44;157.38;79.77;318.92;8.56;430.14;350.28;403.5;142.03;480.88;236.82;362.12;612.62;710.55;264.85;260.94;674.39;648.81;221.19;447.1;283.17;342.43;128.21;159.63;158.7;340.29;83.83;135.71;699.78;791.24;713.13;57.15;215.57;396.59;438.96;800.48;579.89;257.56;10.12;1106.43;33.25;1222.37;630.25;3465.96;2.85;181.35;2576.32;1.92;79.12;4947.91;1463.59;3510.45;2.05;2312;184.63;112.72;717.57;319.71;1061.23;277.81;2329.3;40867.37;7931.16;8927.69;13099.18;4.92;990.69;1481.64;2123.63;2132.93;109.81;540.08;914.62;963.01;2115.94;1603.98;950.64;40.56;1608.15;956.86;1614.37;119.03;764.05;1124;834.42;10105.86;0;13245.14;139.5;1879.57;439.87;1348.72;691.22;493.04;6209.23;4438.75;108.92;1645.38;2469.03;2369.29
S1_P_5;Stationary S;34.64;15.84;50.01;0;3.48;0;2.3;3.54;16.64;10.97;32.57;0;1.88;3.91;5.38;7.98;3.85;23;23.18;49.79;5.38;0;46.29;0;75.65;0;11.74;3.5;1.07;9.19;12.23;3.59;5.11;111.49;4.89;2.43;1.63;0.64;158.97;9.16;0;0;0;20.59;37.3;20.67;10.99;438.92;80.39;5.79;385.81;45.59;9.98;1.62;95.57;60.32;15.73;2.8;0;3.64;7.35;8.23;56.26;15.84;3.51;0;39.61;0;209;125.28;27.13;0;0;2.46;9.07;187.95;8.08;11.49;0;109.31;13.69;4.13;0;170.75;4.71;0;256.06;40.21;2.23;56.1;54.61;0;35.02;100.75;5.14;224.16;140.12;41.27;6.96;3.13;0;58.84;33.83;25.16;0;50.98;0;9.95;5.12;413.19;82.03;43.57;50.75;12.86;0;0;3.35;0;52.58;38.7;7.22;3.78;0;0;0;396.06;19.59;0;397.3;1078.37;453.06;71.29;23.48;109.18;156.16;255.4;68.74;4.26;23;778.65;1638.61;48928.2;98690.56;394721.48;317.57;18449.91;310579.35;320.08;6422.32;448150.98;149583.06;267341;111.58;91413.98;0;0;0;1.46;23.96;16.61;0;15.33;5.91;5;3.84;0;0;2.05;24.92;209.12;117.12;0;0;0;4.32;4.86;42.61;0;2.31;16.68;28.72;4.53;73.08;208.09;315.99;25.98;59.06;4.57;0;0;0;258.19;172.65;4.07;2.57;2.64;0;2.38;3.24;2.04
