AssayIdentifier;Number_of_sequences ;Percentage_Reads
E1_B_0;23 701 618;96.05
E2_B_0;20 103 310;96.19
E4_B_0;20 498 142;96.48
E1_B_5;22 611 060;78.55
E2_B_5;20 511 308;78.94
E4_B_5;21 736 222;82.74
E1_B_15;23 036 328;15.31
E2_B_15;21 620 096;9
E4_B_15;23 743 778;18.88
E1_B_30;23 146 142;9.34
E2_B_30;21 202 012;2.65
E4_B_30;23 682 414;7.5
E1_P_0;23 701 618;0
E2_P_0;20 103 310;0
E4_P_0;20 498 142;0
E1_P_5;22 611 060;18.37
E2_P_5;20 511 308;17.21
E4_P_5;21 736 222;14.1
E1_P_15;23 036 328;81.91
E2_P_15;21 620 096;87.59
E4_P_15;23 743 778;77.67
E1_P_30;23 146 142;87.96
E2_P_30;21 202 012;94.62
E4_P_30;23 682 414;89.72
S2_B_0;19 748 828;96.96
S4_B_0;21 651 754;97.15
S5_B_0;22 055 406;97.31
S2_B_5;22 365 752;86.32
S4_B_5;20 420 176;75.5
S5_B_5;21 892 598;93.59
S2_B_15;25 533 252;44.31
S4_B_15;23 346 410;74.9
S5_B_15;18 212 700;57
S2_B_30;22 101 690;20.97
S4_B_30;22 350 814;38.4
S5_B_30;21 994 072;32.52
S2_P_0;19 748 828;0
S4_P_0;21 651 754;0
S5_P_0;22 055 406;0
S2_P_5;22 365 752;10.45
S4_P_5;20 420 176;21.47
S5_P_5;21 892 598;3.11
S2_P_15;25 533 252;52.99
S4_P_15;23 346 410;22.14
S5_P_15;18 212 700;40.29
S2_P_30;22 101 690;76.24
S4_P_30;22 350 814;59.01
S5_P_30;21 994 072;64.56
